top - 10:16:46 up 1 day, 16:16,  0 users,  load average: 1.55, 1.13, 1.04
Tasks: 221 total,   1 running, 220 sleeping,   0 stopped,   0 zombie
Cpu(s):  1.7%us,  0.8%sy,  0.0%ni, 97.4%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    316656k total,   190944k used,   125712k free,    20784k buffers
Swap:        0k total,        0k used,        0k free,    81456k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 1046 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CPPOSA1_0          
 1047 root     -51   0  553m  42m  15m S  0.0 13.7   0:00.00 FLTDT_0            
 1048 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CPPOSA2_0          
 1049 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 HPD_0              
 1050 root      20   0  553m  42m  15m S  0.0 13.7   0:00.18 DiagMgrThread_0    
 1051 root      14  -6  553m  42m  15m S  0.0 13.7   0:00.00 Finalizer          
 1052 root      14  -6  553m  42m  15m S  0.0 13.7   0:00.00 SiegeSignalHandler 
 1053 root      20   0  553m  42m  15m S  0.0 13.7   0:00.02 VMRFSH_0           
 1054 root       8 -12  553m  42m  15m S  0.0 13.7   0:00.00 DevInput           
 1055 root     -82   0  553m  42m  15m S  0.0 13.7   0:00.00 PCLUI_M_0          
 1056 root     -83   0  553m  42m  15m S  0.0 13.7   0:00.00 PCLUI_L_0          
 1057 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 PCLUI_T_0          
 1058 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 PCLUI_T_1          
 1059 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 PCLUI_T_2          
 1060 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 RPTKEY_0           
 1061 root       8 -12  553m  42m  15m S  0.0 13.7   0:00.09 CEE-J Desktop Event
 1062 root       8 -12  553m  42m  15m S  0.0 13.7   0:00.24 CEE-J EventQueue Re
 1064 root      20   0  553m  42m  15m S  0.0 13.7   0:00.09 DiscoveryManager$Di
 1065 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 UPNP_SsdpCS_0      
 1067 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 UPNP_SocSer_0      
 1068 root      20   0  553m  42m  15m S  0.0 13.7   0:01.69 UPNP_Timer_0       
 1072 root      20   0  553m  42m  15m S  0.0 13.7   0:53.82 UPNP_Events_0      
 1081 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 UPNP_HttpCli_0     
 1082 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 AVControl_0        
 1083 root     -75   0  553m  42m  15m S  0.0 13.7   0:00.00 HAudIst_1          
 1084 root     -75   0  553m  42m  15m S  0.0 13.7   0:00.00 HVidDecIST_0       
 1085 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 LSyncAdjust_0      
 1086 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 LSyncDelay_0       
 1087 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CCDisplay_0        
 1088 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CCTimer_0          
 1089 root     -51   0  553m  42m  15m S  0.0 13.7   0:00.00 PDSTSK_1           
 1090 root     -51   0  553m  42m  15m S  0.0 13.7   0:00.00 PDSTSK_2           
 1091 root     -61   0  553m  42m  15m S  0.0 13.7   0:00.00 UMP_DEC_0          
 1092 root     -61   0  553m  42m  15m S  0.0 13.7   0:00.00 UMP_DEC_10         
 1093 root     -75   0  553m  42m  15m S  0.0 13.7   0:00.00 HAudIst_0          
 1094 root     -11   0  553m  42m  15m S  0.0 13.7   0:00.00 UMP_COD_0          
 1095 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 j3DTextFPChange    
 1098 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 mhp_thread_group0  
 1099 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 mhp_thread_group1  
 1100 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 mhp_thread_group2  
 1101 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 mhp_thread_group3  
 1102 root      22   2  553m  42m  15m S  0.0 13.7   0:00.00 Listener           
 1106 root      20   0  553m  42m  15m S  0.0 13.7   0:00.02 UPNP_HttpCli_0     
 1107 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 Upgrade_1          
 1108 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 stbutilsListener_1 
 1109 root      30  10  553m  42m  15m S  0.0 13.7   0:00.64 EventHandler       
 1110 root      22   2  553m  42m  15m S  0.0 13.7   0:00.00 ScreenPainter      
 1111 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 jFPSysMsg          
 1112 root      20   0  553m  42m  15m S  0.0 13.7   0:00.01 UPNP_HttpCli_0     
 1113 root      20   0  553m  42m  15m S  0.0 13.7   0:00.03 FileCheckThread    
 1115 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 UPNP_HttpCli_0     
 1117 root      10 -10  553m  42m  15m S  0.0 13.7   0:00.00 Filter.Timeslicer  
 1118 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 RecoveryManager    
 1119 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CAEVPOOL0          
 1120 root      20   0  553m  42m  15m S  0.0 13.7   0:01.35 MotoTimerNotifier0 
 1121 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 MotoTimerNotifier1 
 1122 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 MotoTimerNotifier2 
 1123 root      20   0  553m  42m  15m S  0.0 13.7   0:00.05 MotoTimer0         
 1125 root      20   0  553m  42m  15m S  0.0 13.7   0:00.01 jCCValidation      
 1126 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 LeasedHostRes_0    
 1127 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CARDMIBTASK_0      
 1128 root      20   0  553m  42m  15m S  0.0 13.7   0:00.08 PclHostEventTask_1 
 1129 root     -66   0  553m  42m  15m S  0.0 13.7   0:00.21 CP_MainTask_1      
 1130 root     -56   0  553m  42m  15m S  0.0 13.7   0:00.20 CP_KeyCalcTask_1   
 1131 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 PclHem_Task_1      
 1132 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CCRST_TASK_1       
 1133 root     -55   0  553m  42m  15m S  0.0 13.7   0:00.26 CI_Task_1          
 1134 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 Carousel0          
 1135 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 MotoIxcSupport0    
 1136 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher0 
 1137 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher1 
 1138 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher2 
 1139 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher3 
 1140 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher4 
 1141 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher5 
 1142 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher6 
 1143 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher7 
 1144 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher8 
 1145 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher9 
 1146 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher10
